Address,EthBal,LrcBal
0x344aa2bd18d31610c1f5a5ba083fad152f60497e,1001,0
0x5b0ed294b3fbe280027cba0ef061358d1c0de63f,999,0
0x74e2e6e2ad23c39af1b648bff3702fb7542f9233,1001,0
0x6e8dd306ed08f80d721d1baadce8daf60776bb4a,9,0
0x5695b06071cdf4e1a08d00418b8d8e07fe327f94,5,0
0x563b377a956c80d77a7c613a9343699ad6123911,665,0
0xd3273eba07248020bf98a8b560ec1576a612102f,321,0
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,455,0
0xeed16856d551569d134530ee3967ec79995e2051,371,0
0x273de1002d7ff2b44a86c1f0c23bd000a3b054ab,1001,0
0xd325526ee430a586c2b1db82a9e260c969b01cc2,1287,0
0x13923436234845fd853e32183c518c3b1885faad,1001,0
0xd9a3fab5598f5a273ff99385ceea68ae151f5b7a,999,0
0x049dea062616d1d0000a698159ad60f4a674023d,5,0
0x3cb3aab381d411c9a1c090377615ea61f51e3548,993,0
0x86b99b93e9a86b17cf52f6112db9b220fcc9319e,1001,0
0xc0a70447d8f5b6f89cb7b400d1f947159eca8003,1000,0
0xabf28d893e0555e9009aab3181d14ed8ce6f96cc,1001,0
0x55e7138d85c0c341a61e86b0e96426ad6f19aece,999,0
0xe08f2be8a66b542483645be898d4d1e2a599e501,1000,0
0x7f40a3eb2484be7669dd9efb7359a2ffd7181b6b,998,0
0x3c72119ec877f6909a1a303a999214bb445221fe,998,0
0xba2e1dce30c90b255650241a6632ff35000672d6,1000,0
0xf41854ae533df4ac8e553622d3e6f82f24ece687,1001,0
0x9e39708c573903e7f0a1beb8f483c243048d224f,1000,0
0x42db23c6095421b510c8b58283a6565b8f6c8e03,1000,0
0xe51df530473acc6e55bdbc939fad282f35ca9fe4,221,0
0xb8bd7cbe1decd8938058ba34004a0d389d794ed0,1000,0
0x10be8f5890b235b9dae087facbafdc99f17a9845,215,0
0x312b509d5e976e5175b93b8b10abba1043b70439,211,0
0x865a00967796f4434958265ab8df9e7e2b35436d,999,0
0x4819287801780389ed1718236509e7e95fad6afb,1000,0
0x3a053f2ffa5ad550e5d3da30ab457d0251be8111,1000,0
0xb7cffa0c8b673ff1df504bf2f5a1234ae2182866,999,0
0x137b7ba64095d35722890e0c5905f8923a28479e,1000,0
0x3a185fa60c1fd6f931e6d5b93b3557487d062408,34,0
0x71c7656ec7ab88b098defb751b7401b5f6d8976f,14,0
